SYSTEM,COUNTY,VENDOR,ESC
LYTLE,ATASCOSA,BORDEN,0
LYTLE,ATASCOSA,OAK FARMS,0
TROY,BELL,OAK FARMS,0
EAST CENTRAL,BEXAR,BORDEN,0
EAST CENTRAL,BEXAR,OAK FARMS,0
EAST CENTRAL,BEXAR,PRESTON,0
EAST CENTRAL,BEXAR,SCHEPPS,0
EDGEWOOD,BEXAR,BORDEN,0
EDGEWOOD,BEXAR,PRESTON,0
EDGEWOOD,BEXAR,SCHEPPS,0
HARLANDALE,BEXAR,OAK FARMS,0
HARLANDALE,BEXAR,SCHEPPS,0
JUDSON,BEXAR,BORDEN,0
JUDSON,BEXAR,OAK FARMS,0
JUDSON,BEXAR,PRESTON,0
JUDSON,BEXAR,SCHEPPS,0
NORTH EAST,BEXAR,BORDEN,0
NORTH EAST,BEXAR,OAK FARMS,0
NORTH EAST,BEXAR,PRESTON,0
NORTH EAST,BEXAR,SCHEPPS,0
NORTHSIDE,BEXAR,BORDEN,0
NORTHSIDE,BEXAR,OAK FARMS,0
NORTHSIDE,BEXAR,PRESTON,0
NORTHSIDE,BEXAR,SCHEPPS,0
SAN ANTONIO,BEXAR,BORDEN,1
SAN ANTONIO,BEXAR,PRESTON,1
SAN ANTONIO,BEXAR,SCHEPPS,1
SOUTHSIDE,BEXAR,BORDEN,0
SOUTHSIDE,BEXAR,PRESTON,0
SOUTHSIDE,BEXAR,SCHEPPS,0
SOUTHWEST,BEXAR,BORDEN,0
SOUTHWEST,BEXAR,PRESTON,0
CELINA,COLLIN,CABELL,0
MCKINNEY,COLLIN,BORDEN,1
MCKINNEY,COLLIN,CABELL,1
MCKINNEY,COLLIN,SCHEPPS,0
PLANO,COLLIN,BORDEN,1
PLANO,COLLIN,SCHEPPS,1
PRINCETON,COLLIN,BORDEN,1
PRINCETON,COLLIN,CABELL,1
WYLIE,COLLIN,CABELL,0
COMAL,COMAL,BORDEN,0
COMAL,COMAL,PRESTON,0
COMAL,COMAL,SCHEPPS,0
ERA,COOKE,BORDEN,1
EVANT,CORYELL,BORDEN,0
CARROLLTON,DALLAS,CABELL,0
CARROLLTON,DALLAS,SCHEPPS,0
DALLAS,DALLAS,BORDEN,1
DALLAS,DALLAS,CABELL,1
DALLAS,DALLAS,FOREMOST,1
DALLAS,DALLAS,OAK FARMS,1
DE SOTO,DALLAS,BORDEN,0
DE SOTO,DALLAS,SCHEPPS,1
GARLAND,DALLAS,SCHEPPS,0
GRAND PRAIRIE,DALLAS,SCHEPPS,1
HIGHLAND PARK,DALLAS,SCHEPPS,1
IRVING,DALLAS,BORDEN,0
IRVING,DALLAS,OAK FARMS,0
LANCASTER,DALLAS,BORDEN,1
LANCASTER,DALLAS,OAK FARMS,0
MESQUITE,DALLAS,CABELL,0
RICHARDSON,DALLAS,CABELL,1
RICHARDSON,DALLAS,SCHEPPS,1
DENTON,DENTON,BORDEN,1
DENTON,DENTON,SCHEPPS,1
DENTON,DENTON,VANDERVOORT,0
LEWISVILLE,DENTON,BORDEN,1
LEWISVILLE,DENTON,CABELL,0
LEWISVILLE,DENTON,CABELL,1
LEWISVILLE,DENTON,SCHEPPS,1
LEWISVILLE,DENTON,VANDERVOORT,1
SANGER,DENTON,SCHEPPS,0
ENNIS,ELLIS,BORDEN,0
ENNIS,ELLIS,OAK FARMS,0
ENNIS,ELLIS,SCHEPPS,0
FERRIS,ELLIS,OAK FARMS,0
PALMER,ELLIS,OAK FARMS,0
RED OAK,ELLIS,OAK FARMS,0
WAXAHACHIE,ELLIS,BORDEN,0
WAXAHACHIE,ELLIS,OAK FARMS,0
STEPHENVILLE,ERATH,BORDEN,0
CHILTON,FALLS,BORDEN,0
ROSEBUD,FALLS,BORDEN,0
WHITESBORO,GRAYSON,BORDEN,1
GRANBURY,HOOD,BORDEN,1
GRANBURY,HOOD,CABELL,1
TOLAR,HOOD,BORDEN,1
GREENVILLE,HUNT,SCHEPPS,1
CLEBURNE,JOHNSON,BORDEN,1
CLEBURNE,JOHNSON,VANDERVOORT,1
