SYSTEM,COUNTY,VENDOR,ESC
LYTLE,ATASCOSA,BORDEN,0
LYTLE,ATASCOSA,OAK FARMS,0
ACADEMY,BELL,OAK FARMS,0
ROGERS,BELL,BORDEN,0
ROGERS,BELL,OAK FARMS,0
TROY,BELL,OAK FARMS,0
EAST CENTRAL,BEXAR,BORDEN,0
EAST CENTRAL,BEXAR,OAK FARMS,0
EAST CENTRAL,BEXAR,PRESTON,0
EAST CENTRAL,BEXAR,SCHEPPS,0
EDGEWOOD,BEXAR,BORDEN,0
EDGEWOOD,BEXAR,OAK FARMS,0
EDGEWOOD,BEXAR,PRESTON,0
EDGEWOOD,BEXAR,SCHEPPS,0
HARLANDALE,BEXAR,OAK FARMS,0
HARLANDALE,BEXAR,PRESTON,0
HARLANDALE,BEXAR,SCHEPPS,0
JUDSON,BEXAR,BORDEN,0
JUDSON,BEXAR,OAK FARMS,0
JUDSON,BEXAR,PRESTON,0
JUDSON,BEXAR,SCHEPPS,0
NORTH EAST,BEXAR,BORDEN,0
NORTH EAST,BEXAR,OAK FARMS,0
NORTH EAST,BEXAR,PRESTON,0
NORTH EAST,BEXAR,SCHEPPS,0
NORTHSIDE,BEXAR,BORDEN,0
NORTHSIDE,BEXAR,OAK FARMS,0
NORTHSIDE,BEXAR,PRESTON,0
NORTHSIDE,BEXAR,SCHEPPS,0
SAN ANTONIO,BEXAR,BORDEN,1
SAN ANTONIO,BEXAR,OAK FARMS,1
SAN ANTONIO,BEXAR,PRESTON,1
SAN ANTONIO,BEXAR,SCHEPPS,1
SOUTHSIDE,BEXAR,BORDEN,0
SOUTHSIDE,BEXAR,OAK FARMS,0
SOUTHSIDE,BEXAR,PRESTON,0
SOUTHSIDE,BEXAR,SCHEPPS,0
SOUTHWEST,BEXAR,BORDEN,0
SOUTHWEST,BEXAR,FOREMOST,0
SOUTHWEST,BEXAR,OAK FARMS,0
SOUTHWEST,BEXAR,PRESTON,0
ALLEN,COLLIN,SCHEPPS,1
CELINA,COLLIN,CABELL,0
FRISCO,COLLIN,BORDEN,1
MCKINNEY,COLLIN,BORDEN,1
MCKINNEY,COLLIN,CABELL,1
MCKINNEY,COLLIN,SCHEPPS,0
PLANO,COLLIN,BORDEN,1
PLANO,COLLIN,CABELL,0
PLANO,COLLIN,OAK FARMS,1
PLANO,COLLIN,SCHEPPS,1
PRINCETON,COLLIN,BORDEN,1
PRINCETON,COLLIN,CABELL,1
WYLIE,COLLIN,BORDEN,1
WYLIE,COLLIN,CABELL,0
COMAL,COMAL,BORDEN,0
COMAL,COMAL,PRESTON,0
COMAL,COMAL,SCHEPPS,0
COMANCHE,COMANCHE,BORDEN,1
ERA,COOKE,BORDEN,1
LINDSAY,COOKE,BORDEN,1
EVANT,CORYELL,BORDEN,0
CARROLLTON,DALLAS,CABELL,0
CARROLLTON,DALLAS,SCHEPPS,0
CARROLLTON,DALLAS,SCHEPPS,1
CEDAR HILL,DALLAS,SCHEPPS,0
CEDAR HILL,DALLAS,SCHEPPS,1
COPPELL,DALLAS,BORDEN,0
COPPELL,DALLAS,SCHEPPS,1
DALLAS,DALLAS,BORDEN,1
DALLAS,DALLAS,CABELL,1
DALLAS,DALLAS,FOREMOST,1
DALLAS,DALLAS,OAK FARMS,1
DALLAS,DALLAS,SCHEPPS,0
DALLAS,DALLAS,SCHEPPS,1
DE SOTO,DALLAS,BORDEN,0
DE SOTO,DALLAS,OAK FARMS,0
DE SOTO,DALLAS,SCHEPPS,1
DUNCANVILLE,DALLAS,CABELL,1
DUNCANVILLE,DALLAS,SCHEPPS,0
DUNCANVILLE,DALLAS,SCHEPPS,1
GARLAND,DALLAS,CABELL,0
GARLAND,DALLAS,FOREMOST,0
GARLAND,DALLAS,OAK FARMS,0
GARLAND,DALLAS,SCHEPPS,0
GARLAND,DALLAS,VANDERVOORT,1
GRAND PRAIRIE,DALLAS,CABELL,0
GRAND PRAIRIE,DALLAS,OAK FARMS,0
GRAND PRAIRIE,DALLAS,SCHEPPS,1
GRAND PRAIRIE,DALLAS,VANDERVOORT,1
